,lan,cat,precision,recall,f1,Average F1
0,java,summary,0.8774193548,0.9147982063,0.8957189901,0.6590516649
1,java,Ownership,1,1,1,0
2,java,Expand,0.5205479452,0.3725490196,0.4342857143,0
3,java,usage,0.9224806202,0.8283062645,0.8728606357,0
4,java,Pointer,0.7695652174,0.9619565217,0.8550724638,0
5,java,deprecation,0.9,0.6,0.72,0
6,java,rational,0.3142857143,0.3235294118,0.3188405797,0
7,python,Usage,0.7821782178,0.652892562,0.7117117117,0
8,python,Parameters,0.816,0.796875,0.8063241107,0
9,python,DevelopmentNotes,0.4,0.2926829268,0.338028169,0
10,python,Expand,0.5087719298,0.453125,0.479338843,0
11,python,Summary,0.6463414634,0.6463414634,0.6463414634,0
12,pharo,Keyimplementationpoints,0.6666666667,0.6511627907,0.6588235294,0
13,pharo,Example,0.9259259259,0.8403361345,0.8810572687,0
14,pharo,Responsibilities,0.66,0.6346153846,0.6470588235,0
15,pharo,Classreferences,0.5,0.25,0.3333333333,0
16,pharo,Intent,0.8965517241,0.8666666667,0.8813559322,0
17,pharo,Keymessages,0.6595744681,0.7209302326,0.6888888889,0
18,pharo,Collaborators,0.4285714286,0.3,0.3529411765,0
