"lan","cat","precision","recall","f1"
"java","summary","0.873385","0.829448","0.850850"
"java","Ownership","1.0","1.0","1.0"
"java","Expand","0.323529","0.444444","0.374468"
"java","usage","0.911043","0.818182","0.862119"
"java","Pointer","0.738255","0.940171","0.827068"
"java","deprecation","0.818182","0.6","0.692308"
"java","rational","0.162162","0.295082","0.209302"
"python","Usage","0.700787","0.735537","0.717742"
"python","Parameters","0.793893","0.8125","0.803089"
"python","DevelopmentNotes","0.243902","0.487805","0.325203"
"python","Expand","0.433628","0.765625","0.553672"
"python","Summary","0.648649","0.585366","0.615385"
"pharo","Keyimplementationpoints","0.636364","0.651163","0.643678"
"pharo","Example","0.872881","0.903509","0.887931"
"pharo","Responsibilities","0.596154","0.596154","0.596154"
"pharo","Classreferences","0.2","0.5","0.285714"
"pharo","Intent","0.71875","0.766667","0.741935"
"pharo","Keymessages","0.68","0.790698","0.731183"
"pharo","Collaborators","0.26087","0.6","0.363636"
